...
| rollout/                |              |
|    clip_range           | 0.25          |
|    entropy_loss         | -5.32         |
|    explained_variance   | 0.0995        |
|    learning_rate        | 0.0001        |
|    loss                 | -0.266        |
|    n_updates            | 20190         |
|    policy_gradient_loss | -0.000608     |
|    std                  | 49.4          |
|    value_loss           | 1.4e-06       |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 1.69e+06      |
|    ep_rew_mean          | -1.08         |
| time/                   |               |
|    fps                  | 56            |
|    iterations           | 2020          |
|    time_elapsed         | 51856         |
|    total_timesteps      | 2908800       |
| train/                  |               |
|    approx_kl            | 0.00040794545 |
|    clip_fraction        | 0.000139      |
|    clip_range           | 0.25          |
|    entropy_loss         | -5.32         |
|    explained_variance   | 0.0995        |
|    learning_rate        | 0.0001        |
|    loss                 | -0.266        |
|    n_updates            | 20190         |
|    policy_gradient_loss | -0.000608     |
|    std                  | 49.4          |
|    value_loss           | 1.4e-06       |
-------------------------------------------
Eval num_timesteps=2910000, episode_reward=-0.24 +/- 0.00
Episode length: 409512.00 +/- 0.00
-------------------------------------------
| eval/                   |               |
|    mean_ep_length       | 4.1e+05       |
|    mean_reward          | -0.236        |
| time/                   |               |
|    total_timesteps      | 2910000       |
| train/                  |               |
|    approx_kl            | 0.00080986694 |
|    clip_fraction        | 0.000486      |
|    clip_range           | 0.25          |
|    entropy_loss         | -5.32         |
|    explained_variance   | -0.0769       |
|    learning_rate        | 0.0001        |
|    loss                 | -0.269        |
|    n_updates            | 20200         |
|    policy_gradient_loss | -0.000886     |
|    std                  | 49.5          |
|    value_loss           | 5.02e-07      |
-------------------------------------------
Eval num_timesteps=2910000, episode_reward=-0.24 +/- 0.00
Episode length: 409512.00 +/- 0.00
-------------------------------------------
| eval/                   |               |
|    mean_ep_length       | 4.1e+05       |
|    mean_reward          | -0.236        |
| time/                   |               |
|    total_timesteps      | 2910000       |
| train/                  |               |
|    approx_kl            | 0.00080986694 |
|    clip_fraction        | 0.000486      |
|    clip_range           | 0.25          |
|    entropy_loss         | -5.32         |
|    explained_variance   | -0.0769       |
|    learning_rate        | 0.0001        |
|    loss                 | -0.269        |
|    n_updates            | 20200         |
|    policy_gradient_loss | -0.000886     |
|    std                  | 49.5          |
|    value_loss           | 5.02e-07      |
-------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.69e+06 |
|    ep_rew_mean     | -1.08    |
| time/              |          |
|    fps             | 55       |
|    iterations      | 2021     |
|    time_elapsed    | 52035    |
|    total_timesteps | 2910240  |
---------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.69e+06 |
|    ep_rew_mean     | -1.08    |
| time/              |          |
|    fps             | 55       |
|    iterations      | 2021     |
|    time_elapsed    | 52035    |
|    total_timesteps | 2910240  |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.69e+06    |
|    ep_rew_mean          | -1.08       |
| time/                   |             |
|    fps                  | 55          |
|    iterations           | 2022        |
|    time_elapsed         | 52035       |
|    total_timesteps      | 2911680     |
| train/                  |             |
|    approx_kl            | 0.004151692 |
|    clip_fraction        | 0.00819     |
|    clip_range           | 0.25        |
|    entropy_loss         | -5.32       |
|    explained_variance   | 0.000731    |
|    learning_rate        | 0.0001      |
|    loss                 | -0.266      |
|    n_updates            | 20210       |
|    policy_gradient_loss | -0.0018     |
|    std                  | 49.6        |
|    value_loss           | 5.86e-07    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.69e+06    |
|    ep_rew_mean          | -1.08       |
| time/                   |             |
|    fps                  | 55          |
|    iterations           | 2022        |
|    time_elapsed         | 52035       |
|    total_timesteps      | 2911680     |
| train/                  |             |
|    approx_kl            | 0.004151692 |
|    clip_fraction        | 0.00819     |
|    clip_range           | 0.25        |
|    entropy_loss         | -5.32       |
|    explained_variance   | 0.000731    |
|    learning_rate        | 0.0001      |
|    loss                 | -0.266      |
|    n_updates            | 20210       |
|    policy_gradient_loss | -0.0018     |
|    std                  | 49.6        |
|    value_loss           | 5.86e-07    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.69e+06    |
|    ep_rew_mean          | -1.08       |
| time/                   |             |
|    fps                  | 55          |
|    iterations           | 2023        |
|    time_elapsed         | 52035       |
|    total_timesteps      | 2913120     |
| train/                  |             |
|    approx_kl            | 0.003356585 |
|    clip_fraction        | 0.00451     |
|    clip_range           | 0.25        |
|    entropy_loss         | -5.32       |
|    explained_variance   | -0.00538    |
|    learning_rate        | 0.0001      |
|    loss                 | -0.272      |
|    n_updates            | 20220       |
|    policy_gradient_loss | -0.00358    |
|    std                  | 49.6        |
|    value_loss           | 3.32e-07    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.69e+06    |
|    ep_rew_mean          | -1.08       |
| time/                   |             |
|    fps                  | 55          |
|    iterations           | 2023        |
|    time_elapsed         | 52035       |
|    total_timesteps      | 2913120     |
| train/                  |             |
|    approx_kl            | 0.003356585 |
|    clip_fraction        | 0.00451     |
|    clip_range           | 0.25        |
|    entropy_loss         | -5.32       |
|    explained_variance   | -0.00538    |
|    learning_rate        | 0.0001      |
|    loss                 | -0.272      |
|    n_updates            | 20220       |
|    policy_gradient_loss | -0.00358    |
|    std                  | 49.6        |
|    value_loss           | 3.32e-07    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 2024         |
|    time_elapsed         | 52036        |
|    total_timesteps      | 2914560      |
| train/                  |              |
|    approx_kl            | 0.0038520354 |
|    clip_fraction        | 0.023        |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.32        |
|    explained_variance   | -0.000999    |
|    learning_rate        | 0.0001       |
|    loss                 | -0.274       |
|    n_updates            | 20230        |
|    policy_gradient_loss | -0.00336     |
|    std                  | 49.7         |
|    value_loss           | 2.37e-07     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 2024         |
|    time_elapsed         | 52036        |
|    total_timesteps      | 2914560      |
| train/                  |              |
|    approx_kl            | 0.0038520354 |
|    clip_fraction        | 0.023        |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.32        |
|    explained_variance   | -0.000999    |
|    learning_rate        | 0.0001       |
|    loss                 | -0.274       |
|    n_updates            | 20230        |
|    policy_gradient_loss | -0.00336     |
|    std                  | 49.7         |
|    value_loss           | 2.37e-07     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.69e+06    |
|    ep_rew_mean          | -1.08       |
| time/                   |             |
|    fps                  | 56          |
|    iterations           | 2025        |
|    time_elapsed         | 52036       |
|    total_timesteps      | 2916000     |
| train/                  |             |
|    approx_kl            | 0.002537164 |
|    clip_fraction        | 0.00347     |
|    clip_range           | 0.25        |
|    entropy_loss         | -5.33       |
|    explained_variance   | 0.25        |
|    learning_rate        | 0.0001      |
|    loss                 | -0.27       |
|    n_updates            | 20240       |
|    policy_gradient_loss | -0.00211    |
|    std                  | 49.8        |
|    value_loss           | 5.67e-07    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.69e+06    |
|    ep_rew_mean          | -1.08       |
| time/                   |             |
|    fps                  | 56          |
|    iterations           | 2025        |
|    time_elapsed         | 52036       |
|    total_timesteps      | 2916000     |
| train/                  |             |
|    approx_kl            | 0.002537164 |
|    clip_fraction        | 0.00347     |
|    clip_range           | 0.25        |
|    entropy_loss         | -5.33       |
|    explained_variance   | 0.25        |
|    learning_rate        | 0.0001      |
|    loss                 | -0.27       |
|    n_updates            | 20240       |
|    policy_gradient_loss | -0.00211    |
|    std                  | 49.8        |
|    value_loss           | 5.67e-07    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 2026         |
|    time_elapsed         | 52036        |
|    total_timesteps      | 2917440      |
| train/                  |              |
|    approx_kl            | 0.0017652505 |
|    clip_fraction        | 0.00188      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.33        |
|    explained_variance   | 0.56         |
|    learning_rate        | 0.0001       |
|    loss                 | -0.272       |
|    n_updates            | 20250        |
|    policy_gradient_loss | -0.00246     |
|    std                  | 50           |
|    value_loss           | 7.82e-07     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 2026         |
|    time_elapsed         | 52036        |
|    total_timesteps      | 2917440      |
| train/                  |              |
|    approx_kl            | 0.0017652505 |
|    clip_fraction        | 0.00188      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.33        |
|    explained_variance   | 0.56         |
|    learning_rate        | 0.0001       |
|    loss                 | -0.272       |
|    n_updates            | 20250        |
|    policy_gradient_loss | -0.00246     |
|    std                  | 50           |
|    value_loss           | 7.82e-07     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 2027         |
|    time_elapsed         | 52036        |
|    total_timesteps      | 2918880      |
| train/                  |              |
|    approx_kl            | 0.0021937813 |
|    clip_fraction        | 0.000278     |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.33        |
|    explained_variance   | 0.149        |
|    learning_rate        | 0.0001       |
|    loss                 | -0.271       |
|    n_updates            | 20260        |
|    policy_gradient_loss | -0.0017      |
|    std                  | 50.1         |
|    value_loss           | 3.47e-07     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 2027         |
|    time_elapsed         | 52036        |
|    total_timesteps      | 2918880      |
| train/                  |              |
|    approx_kl            | 0.0021937813 |
|    clip_fraction        | 0.000278     |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.33        |
|    explained_variance   | 0.149        |
|    learning_rate        | 0.0001       |
|    loss                 | -0.271       |
|    n_updates            | 20260        |
|    policy_gradient_loss | -0.0017      |
|    std                  | 50.1         |
|    value_loss           | 3.47e-07     |
------------------------------------------
Eval num_timesteps=2920000, episode_reward=-0.18 +/- 0.00
Episode length: 409512.00 +/- 0.00
------------------------------------------
| eval/                   |              |
|    mean_ep_length       | 4.1e+05      |
|    mean_reward          | -0.182       |
| time/                   |              |
|    total_timesteps      | 2920000      |
| train/                  |              |
|    approx_kl            | 0.0064687757 |
|    clip_fraction        | 0.0194       |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.33        |
|    explained_variance   | 0.0853       |
|    learning_rate        | 0.0001       |
|    loss                 | -0.27        |
|    n_updates            | 20270        |
|    policy_gradient_loss | -0.00453     |
|    std                  | 50.2         |
|    value_loss           | 3.55e-07     |
------------------------------------------
Eval num_timesteps=2920000, episode_reward=-0.18 +/- 0.00
Episode length: 409512.00 +/- 0.00
------------------------------------------
| eval/                   |              |
|    mean_ep_length       | 4.1e+05      |
|    mean_reward          | -0.182       |
| time/                   |              |
|    total_timesteps      | 2920000      |
| train/                  |              |
|    approx_kl            | 0.0064687757 |
|    clip_fraction        | 0.0194       |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.33        |
|    explained_variance   | 0.0853       |
|    learning_rate        | 0.0001       |
|    loss                 | -0.27        |
|    n_updates            | 20270        |
|    policy_gradient_loss | -0.00453     |
|    std                  | 50.2         |
|    value_loss           | 3.55e-07     |
------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.69e+06 |
|    ep_rew_mean     | -1.08    |
| time/              |          |
|    fps             | 55       |
|    iterations      | 2028     |
|    time_elapsed    | 52213    |
|    total_timesteps | 2920320  |
---------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.69e+06 |
|    ep_rew_mean     | -1.08    |
| time/              |          |
|    fps             | 55       |
|    iterations      | 2028     |
|    time_elapsed    | 52213    |
|    total_timesteps | 2920320  |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 55           |
|    iterations           | 2029         |
|    time_elapsed         | 52213        |
|    total_timesteps      | 2921760      |
| train/                  |              |
|    approx_kl            | 0.0032478303 |
|    clip_fraction        | 0.00451      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.34        |
|    explained_variance   | 0.262        |
|    learning_rate        | 0.0001       |
|    loss                 | -0.273       |
|    n_updates            | 20280        |
|    policy_gradient_loss | -0.00302     |
|    std                  | 50.3         |
|    value_loss           | 3.79e-07     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 55           |
|    iterations           | 2029         |
|    time_elapsed         | 52213        |
|    total_timesteps      | 2921760      |
| train/                  |              |
|    approx_kl            | 0.0032478303 |
|    clip_fraction        | 0.00451      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.34        |
|    explained_variance   | 0.262        |
|    learning_rate        | 0.0001       |
|    loss                 | -0.273       |
|    n_updates            | 20280        |
|    policy_gradient_loss | -0.00302     |
|    std                  | 50.3         |
|    value_loss           | 3.79e-07     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 1.69e+06      |
|    ep_rew_mean          | -1.08         |
| time/                   |               |
|    fps                  | 55            |
|    iterations           | 2030          |
|    time_elapsed         | 52213         |
|    total_timesteps      | 2923200       |
| train/                  |               |
|    approx_kl            | 0.00019483587 |
|    clip_fraction        | 0.000694      |
|    clip_range           | 0.25          |
|    entropy_loss         | -5.34         |
|    explained_variance   | 0.0209        |
|    learning_rate        | 0.0001        |
|    loss                 | -0.268        |
|    n_updates            | 20290         |
|    policy_gradient_loss | -0.00059      |
|    std                  | 50.4          |
|    value_loss           | 9.36e-07      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 1.69e+06      |
|    ep_rew_mean          | -1.08         |
| time/                   |               |
|    fps                  | 55            |
|    iterations           | 2030          |
|    time_elapsed         | 52213         |
|    total_timesteps      | 2923200       |
| train/                  |               |
|    approx_kl            | 0.00019483587 |
|    clip_fraction        | 0.000694      |
|    clip_range           | 0.25          |
|    entropy_loss         | -5.34         |
|    explained_variance   | 0.0209        |
|    learning_rate        | 0.0001        |
|    loss                 | -0.268        |
|    n_updates            | 20290         |
|    policy_gradient_loss | -0.00059      |
|    std                  | 50.4          |
|    value_loss           | 9.36e-07      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 1.69e+06      |
|    ep_rew_mean          | -1.08         |
| time/                   |               |
|    fps                  | 56            |
|    iterations           | 2031          |
|    time_elapsed         | 52214         |
|    total_timesteps      | 2924640       |
| train/                  |               |
|    approx_kl            | 0.00040684373 |
|    clip_fraction        | 0.00132       |
|    clip_range           | 0.25          |
|    entropy_loss         | -5.34         |
|    explained_variance   | -0.0115       |
|    learning_rate        | 0.0001        |
|    loss                 | -0.269        |
|    n_updates            | 20300         |
|    policy_gradient_loss | -0.000969     |
|    std                  | 50.5          |
|    value_loss           | 1.79e-06      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 1.69e+06      |
|    ep_rew_mean          | -1.08         |
| time/                   |               |
|    fps                  | 56            |
|    iterations           | 2031          |
|    time_elapsed         | 52214         |
|    total_timesteps      | 2924640       |
| train/                  |               |
|    approx_kl            | 0.00040684373 |
|    clip_fraction        | 0.00132       |
|    clip_range           | 0.25          |
|    entropy_loss         | -5.34         |
|    explained_variance   | -0.0115       |
|    learning_rate        | 0.0001        |
|    loss                 | -0.269        |
|    n_updates            | 20300         |
|    policy_gradient_loss | -0.000969     |
|    std                  | 50.5          |
|    value_loss           | 1.79e-06      |
-------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.69e+06    |
|    ep_rew_mean          | -1.08       |
| time/                   |             |
|    fps                  | 56          |
|    iterations           | 2032        |
|    time_elapsed         | 52214       |
|    total_timesteps      | 2926080     |
| train/                  |             |
|    approx_kl            | 9.24411e-05 |
|    clip_fraction        | 0           |
|    clip_range           | 0.25        |
|    entropy_loss         | -5.34       |
|    explained_variance   | 0.00692     |
|    learning_rate        | 0.0001      |
|    loss                 | -0.267      |
|    n_updates            | 20310       |
|    policy_gradient_loss | -0.000369   |
|    std                  | 50.6        |
|    value_loss           | 3.64e-06    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.69e+06    |
|    ep_rew_mean          | -1.08       |
| time/                   |             |
|    fps                  | 56          |
|    iterations           | 2032        |
|    time_elapsed         | 52214       |
|    total_timesteps      | 2926080     |
| train/                  |             |
|    approx_kl            | 9.24411e-05 |
|    clip_fraction        | 0           |
|    clip_range           | 0.25        |
|    entropy_loss         | -5.34       |
|    explained_variance   | 0.00692     |
|    learning_rate        | 0.0001      |
|    loss                 | -0.267      |
|    n_updates            | 20310       |
|    policy_gradient_loss | -0.000369   |
|    std                  | 50.6        |
|    value_loss           | 3.64e-06    |
-----------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 1.69e+06      |
|    ep_rew_mean          | -1.08         |
| time/                   |               |
|    fps                  | 56            |
|    iterations           | 2033          |
|    time_elapsed         | 52214         |
|    total_timesteps      | 2927520       |
| train/                  |               |
|    approx_kl            | 0.00025696523 |
|    clip_fraction        | 0             |
|    clip_range           | 0.25          |
|    entropy_loss         | -5.34         |
|    explained_variance   | 0.0547        |
|    learning_rate        | 0.0001        |
|    loss                 | -0.27         |
|    n_updates            | 20320         |
|    policy_gradient_loss | -0.000377     |
|    std                  | 50.7          |
|    value_loss           | 6.89e-06      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 1.69e+06      |
|    ep_rew_mean          | -1.08         |
| time/                   |               |
|    fps                  | 56            |
|    iterations           | 2033          |
|    time_elapsed         | 52214         |
|    total_timesteps      | 2927520       |
| train/                  |               |
|    approx_kl            | 0.00025696523 |
|    clip_fraction        | 0             |
|    clip_range           | 0.25          |
|    entropy_loss         | -5.34         |
|    explained_variance   | 0.0547        |
|    learning_rate        | 0.0001        |
|    loss                 | -0.27         |
|    n_updates            | 20320         |
|    policy_gradient_loss | -0.000377     |
|    std                  | 50.7          |
|    value_loss           | 6.89e-06      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 1.69e+06      |
|    ep_rew_mean          | -1.08         |
| time/                   |               |
|    fps                  | 56            |
|    iterations           | 2034          |
|    time_elapsed         | 52214         |
|    total_timesteps      | 2928960       |
| train/                  |               |
|    approx_kl            | 0.00035932142 |
|    clip_fraction        | 0.000486      |
|    clip_range           | 0.25          |
|    entropy_loss         | -5.35         |
|    explained_variance   | 0.0707        |
|    learning_rate        | 0.0001        |
|    loss                 | -0.277        |
|    n_updates            | 20330         |
|    policy_gradient_loss | -0.00223      |
|    std                  | 50.8          |
|    value_loss           | 4.51e-06      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 1.69e+06      |
|    ep_rew_mean          | -1.08         |
| time/                   |               |
|    fps                  | 56            |
|    iterations           | 2034          |
|    time_elapsed         | 52214         |
|    total_timesteps      | 2928960       |
| train/                  |               |
|    approx_kl            | 0.00035932142 |
|    clip_fraction        | 0.000486      |
|    clip_range           | 0.25          |
|    entropy_loss         | -5.35         |
|    explained_variance   | 0.0707        |
|    learning_rate        | 0.0001        |
|    loss                 | -0.277        |
|    n_updates            | 20330         |
|    policy_gradient_loss | -0.00223      |
|    std                  | 50.8          |
|    value_loss           | 4.51e-06      |
-------------------------------------------
Eval num_timesteps=2930000, episode_reward=-0.32 +/- 0.00
Episode length: 409512.00 +/- 0.00
------------------------------------------
| eval/                   |              |
|    mean_ep_length       | 4.1e+05      |
|    mean_reward          | -0.322       |
| time/                   |              |
|    total_timesteps      | 2930000      |
| train/                  |              |
|    approx_kl            | 0.0011684231 |
|    clip_fraction        | 0.00299      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.35        |
|    explained_variance   | -0.00128     |
|    learning_rate        | 0.0001       |
|    loss                 | -0.272       |
|    n_updates            | 20340        |
|    policy_gradient_loss | -0.00152     |
|    std                  | 50.8         |
|    value_loss           | 1.63e-06     |
------------------------------------------
Eval num_timesteps=2930000, episode_reward=-0.32 +/- 0.00
Episode length: 409512.00 +/- 0.00
------------------------------------------
| eval/                   |              |
|    mean_ep_length       | 4.1e+05      |
|    mean_reward          | -0.322       |
| time/                   |              |
|    total_timesteps      | 2930000      |
| train/                  |              |
|    approx_kl            | 0.0011684231 |
|    clip_fraction        | 0.00299      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.35        |
|    explained_variance   | -0.00128     |
|    learning_rate        | 0.0001       |
|    loss                 | -0.272       |
|    n_updates            | 20340        |
|    policy_gradient_loss | -0.00152     |
|    std                  | 50.8         |
|    value_loss           | 1.63e-06     |
------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.69e+06 |
|    ep_rew_mean     | -1.08    |
| time/              |          |
|    fps             | 55       |
|    iterations      | 2035     |
|    time_elapsed    | 52393    |
|    total_timesteps | 2930400  |
---------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1.69e+06 |
|    ep_rew_mean     | -1.08    |
| time/              |          |
|    fps             | 55       |
|    iterations      | 2035     |
|    time_elapsed    | 52393    |
|    total_timesteps | 2930400  |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 55           |
|    iterations           | 2036         |
|    time_elapsed         | 52394        |
|    total_timesteps      | 2931840      |
| train/                  |              |
|    approx_kl            | 0.0011919896 |
|    clip_fraction        | 0.00486      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.35        |
|    explained_variance   | 0.00412      |
|    learning_rate        | 0.0001       |
|    loss                 | -0.272       |
|    n_updates            | 20350        |
|    policy_gradient_loss | -0.00153     |
|    std                  | 50.8         |
|    value_loss           | 5.61e-07     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 55           |
|    iterations           | 2036         |
|    time_elapsed         | 52394        |
|    total_timesteps      | 2931840      |
| train/                  |              |
|    approx_kl            | 0.0011919896 |
|    clip_fraction        | 0.00486      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.35        |
|    explained_variance   | 0.00412      |
|    learning_rate        | 0.0001       |
|    loss                 | -0.272       |
|    n_updates            | 20350        |
|    policy_gradient_loss | -0.00153     |
|    std                  | 50.8         |
|    value_loss           | 5.61e-07     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 1.69e+06      |
|    ep_rew_mean          | -1.08         |
| time/                   |               |
|    fps                  | 55            |
|    iterations           | 2037          |
|    time_elapsed         | 52394         |
|    total_timesteps      | 2933280       |
| train/                  |               |
|    approx_kl            | 0.00047226594 |
|    clip_fraction        | 0             |
|    clip_range           | 0.25          |
|    entropy_loss         | -5.35         |
|    explained_variance   | 0.13          |
|    learning_rate        | 0.0001        |
|    loss                 | -0.266        |
|    n_updates            | 20360         |
|    policy_gradient_loss | -0.000613     |
|    std                  | 50.9          |
|    value_loss           | 1.7e-06       |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 1.69e+06      |
|    ep_rew_mean          | -1.08         |
| time/                   |               |
|    fps                  | 55            |
|    iterations           | 2037          |
|    time_elapsed         | 52394         |
|    total_timesteps      | 2933280       |
| train/                  |               |
|    approx_kl            | 0.00047226594 |
|    clip_fraction        | 0             |
|    clip_range           | 0.25          |
|    entropy_loss         | -5.35         |
|    explained_variance   | 0.13          |
|    learning_rate        | 0.0001        |
|    loss                 | -0.266        |
|    n_updates            | 20360         |
|    policy_gradient_loss | -0.000613     |
|    std                  | 50.9          |
|    value_loss           | 1.7e-06       |
-------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.69e+06    |
|    ep_rew_mean          | -1.08       |
| time/                   |             |
|    fps                  | 56          |
|    iterations           | 2038        |
|    time_elapsed         | 52394       |
|    total_timesteps      | 2934720     |
| train/                  |             |
|    approx_kl            | 0.002458001 |
|    clip_fraction        | 0.0025      |
|    clip_range           | 0.25        |
|    entropy_loss         | -5.35       |
|    explained_variance   | -0.000549   |
|    learning_rate        | 0.0001      |
|    loss                 | -0.271      |
|    n_updates            | 20370       |
|    policy_gradient_loss | -0.00315    |
|    std                  | 51.1        |
|    value_loss           | 2.26e-06    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.69e+06    |
|    ep_rew_mean          | -1.08       |
| time/                   |             |
|    fps                  | 56          |
|    iterations           | 2038        |
|    time_elapsed         | 52394       |
|    total_timesteps      | 2934720     |
| train/                  |             |
|    approx_kl            | 0.002458001 |
|    clip_fraction        | 0.0025      |
|    clip_range           | 0.25        |
|    entropy_loss         | -5.35       |
|    explained_variance   | -0.000549   |
|    learning_rate        | 0.0001      |
|    loss                 | -0.271      |
|    n_updates            | 20370       |
|    policy_gradient_loss | -0.00315    |
|    std                  | 51.1        |
|    value_loss           | 2.26e-06    |
-----------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 1.69e+06      |
|    ep_rew_mean          | -1.08         |
| time/                   |               |
|    fps                  | 56            |
|    iterations           | 2039          |
|    time_elapsed         | 52394         |
|    total_timesteps      | 2936160       |
| train/                  |               |
|    approx_kl            | 0.00021096988 |
|    clip_fraction        | 0             |
|    clip_range           | 0.25          |
|    entropy_loss         | -5.35         |
|    explained_variance   | 0.105         |
|    learning_rate        | 0.0001        |
|    loss                 | -0.271        |
|    n_updates            | 20380         |
|    policy_gradient_loss | -0.000584     |
|    std                  | 51.3          |
|    value_loss           | 1.48e-06      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 1.69e+06      |
|    ep_rew_mean          | -1.08         |
| time/                   |               |
|    fps                  | 56            |
|    iterations           | 2039          |
|    time_elapsed         | 52394         |
|    total_timesteps      | 2936160       |
| train/                  |               |
|    approx_kl            | 0.00021096988 |
|    clip_fraction        | 0             |
|    clip_range           | 0.25          |
|    entropy_loss         | -5.35         |
|    explained_variance   | 0.105         |
|    learning_rate        | 0.0001        |
|    loss                 | -0.271        |
|    n_updates            | 20380         |
|    policy_gradient_loss | -0.000584     |
|    std                  | 51.3          |
|    value_loss           | 1.48e-06      |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 2040         |
|    time_elapsed         | 52394        |
|    total_timesteps      | 2937600      |
| train/                  |              |
|    approx_kl            | 0.0033056529 |
|    clip_fraction        | 0.0172       |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.36        |
|    explained_variance   | -0.0131      |
|    learning_rate        | 0.0001       |
|    loss                 | -0.272       |
|    n_updates            | 20390        |
|    policy_gradient_loss | -0.00327     |
|    std                  | 51.5         |
|    value_loss           | 5.54e-07     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
